IATA,Countries,Cities,Type Point,Location
AAA, Polinesia frances,Anaa,"{'location': {'type': 'Point', 'coordinates': (-145.521919, -17.343626)}}","{'location': {'type': 'Point', 'coordinates': (-145.521919, -17.343626)}}"
AAD, Somalia,Adado,"{'location': {'type': 'Point', 'coordinates': (-145.521919, -17.343626)}}","{'location': {'type': 'Point', 'coordinates': (-145.521919, -17.343626)}}"
AAE, Argelia,Annaba,"{'location': {'type': 'Point', 'coordinates': (47.06892068854587, 6.114902900000001)}}","{'location': {'type': 'Point', 'coordinates': (47.06892068854587, 6.114902900000001)}}"
AAK, Kiribati,Aranuka,"{'location': {'type': 'Point', 'coordinates': (7.7549272, 36.8982165)}}","{'location': {'type': 'Point', 'coordinates': (7.7549272, 36.8982165)}}"
AAL, Dinamarca,Aalborg,"{'location': {'type': 'Point', 'coordinates': (173.62125479474997, 0.22451795)}}","{'location': {'type': 'Point', 'coordinates': (173.62125479474997, 0.22451795)}}"
AAN, Emiratos Arabes Unidos,Al Ain,"{'location': {'type': 'Point', 'coordinates': (9.9215263, 57.0462626)}}","{'location': {'type': 'Point', 'coordinates': (9.9215263, 57.0462626)}}"
AAP, Indonesia,Samarinda,"{'location': {'type': 'Point', 'coordinates': (55.7474052, 24.2258413)}}","{'location': {'type': 'Point', 'coordinates': (55.7474052, 24.2258413)}}"
AAQ, Rusia,Anapa,"{'location': {'type': 'Point', 'coordinates': (117.1393089, -0.5017804)}}","{'location': {'type': 'Point', 'coordinates': (117.1393089, -0.5017804)}}"
AAR, Dinamarca,Aarhus,"{'location': {'type': 'Point', 'coordinates': (37.316887, 44.894272)}}","{'location': {'type': 'Point', 'coordinates': (37.316887, 44.894272)}}"
AAT, China,Altay,"{'location': {'type': 'Point', 'coordinates': (10.2134046, 56.1496278)}}","{'location': {'type': 'Point', 'coordinates': (10.2134046, 56.1496278)}}"
ABA, Rusia,Abakan,"{'location': {'type': 'Point', 'coordinates': (86.6446, 49.808)}}","{'location': {'type': 'Point', 'coordinates': (86.6446, 49.808)}}"
ABB, Nigeria,Asaba,"{'location': {'type': 'Point', 'coordinates': (91.4403553, 53.7206497)}}","{'location': {'type': 'Point', 'coordinates': (91.4403553, 53.7206497)}}"
ABD, Corri,Abadan,"{'location': {'type': 'Point', 'coordinates': (6.7297071, 6.1858825)}}","{'location': {'type': 'Point', 'coordinates': (6.7297071, 6.1858825)}}"
ABE, Estados Unidos,Allentown,"{'location': {'type': 'Point', 'coordinates': (48.2591475, 30.3636097)}}","{'location': {'type': 'Point', 'coordinates': (48.2591475, 30.3636097)}}"
ABF, Kiribati,Abaiang,"{'location': {'type': 'Point', 'coordinates': (-75.4712794, 40.6022059)}}","{'location': {'type': 'Point', 'coordinates': (-75.4712794, 40.6022059)}}"
ABI, Estados Unidos,Abilene,"{'location': {'type': 'Point', 'coordinates': (172.78020398996938, 2.19410135)}}","{'location': {'type': 'Point', 'coordinates': (172.78020398996938, 2.19410135)}}"
ABJ, Costa de Marfil,Abiyan,"{'location': {'type': 'Point', 'coordinates': (-99.7475905, 32.44645)}}","{'location': {'type': 'Point', 'coordinates': (-99.7475905, 32.44645)}}"
ABL, Estados Unidos,Ambler,"{'location': {'type': 'Point', 'coordinates': (-4.016107, 5.320357)}}","{'location': {'type': 'Point', 'coordinates': (-4.016107, 5.320357)}}"
ABM, Australia,Bamaga,"{'location': {'type': 'Point', 'coordinates': (11.146774, 46.395412)}}","{'location': {'type': 'Point', 'coordinates': (11.146774, 46.395412)}}"
ABQ, Estados Unidos,Albuquerque,"{'location': {'type': 'Point', 'coordinates': (142.3891237, -10.8895119)}}","{'location': {'type': 'Point', 'coordinates': (142.3891237, -10.8895119)}}"
ABR, Estados Unidos,Aberdeen,"{'location': {'type': 'Point', 'coordinates': (-106.650985, 35.0841034)}}","{'location': {'type': 'Point', 'coordinates': (-106.650985, 35.0841034)}}"
ABS, Egipto,Abu Simbel,"{'location': {'type': 'Point', 'coordinates': (-2.0928095, 57.1482429)}}","{'location': {'type': 'Point', 'coordinates': (-2.0928095, 57.1482429)}}"
ABT, Arabia Saudita,Al Bahah,"{'location': {'type': 'Point', 'coordinates': (31.62580544472133, 22.3370866)}}","{'location': {'type': 'Point', 'coordinates': (31.62580544472133, 22.3370866)}}"
ABU, Indonesia,Atambua,"{'location': {'type': 'Point', 'coordinates': (41.4615479, 20.2372671)}}","{'location': {'type': 'Point', 'coordinates': (41.4615479, 20.2372671)}}"
ABV, Nigeria,Abuya,"{'location': {'type': 'Point', 'coordinates': (124.888064, -9.1059581)}}","{'location': {'type': 'Point', 'coordinates': (124.888064, -9.1059581)}}"
ABX, Australia,Albury,"{'location': {'type': 'Point', 'coordinates': (7.4892974, 9.0643305)}}","{'location': {'type': 'Point', 'coordinates': (7.4892974, 9.0643305)}}"
ABY, Estados Unidos,Albany,"{'location': {'type': 'Point', 'coordinates': (146.9162795, -36.0804766)}}","{'location': {'type': 'Point', 'coordinates': (146.9162795, -36.0804766)}}"
ABZ, Reino Unido,Aberdeen,"{'location': {'type': 'Point', 'coordinates': (19.9999619, 41.000028)}}","{'location': {'type': 'Point', 'coordinates': (19.9999619, 41.000028)}}"
ACA, Mexico,Acapulco de Juarez,"{'location': {'type': 'Point', 'coordinates': (-2.0928095, 57.1482429)}}","{'location': {'type': 'Point', 'coordinates': (-2.0928095, 57.1482429)}}"
ACC, Ghana,Acra,"{'location': {'type': 'Point', 'coordinates': (-99.8940182, 16.8680495)}}","{'location': {'type': 'Point', 'coordinates': (-99.8940182, 16.8680495)}}"
ACE, Espana,Lanzarote,"{'location': {'type': 'Point', 'coordinates': (-0.2012376, 5.5571096)}}","{'location': {'type': 'Point', 'coordinates': (-0.2012376, 5.5571096)}}"
ACH, Suiza,Thal,"{'location': {'type': 'Point', 'coordinates': (-13.636291608604138, 29.03970805)}}","{'location': {'type': 'Point', 'coordinates': (-13.636291608604138, 29.03970805)}}"
ACI, Guernesey,Alderney,"{'location': {'type': 'Point', 'coordinates': (15.3549817, 47.0792405)}}","{'location': {'type': 'Point', 'coordinates': (15.3549817, 47.0792405)}}"
ACK, Estados Unidos,Nantucket,"{'location': {'type': 'Point', 'coordinates': (-2.196889, 49.7169949)}}","{'location': {'type': 'Point', 'coordinates': (-2.196889, 49.7169949)}}"
ACP, Corri,Bonab,"{'location': {'type': 'Point', 'coordinates': (-70.00901408779944, 41.315731400000004)}}","{'location': {'type': 'Point', 'coordinates': (-70.00901408779944, 41.315731400000004)}}"
ACT, Estados Unidos,Waco,"{'location': {'type': 'Point', 'coordinates': (46.0592907, 37.3386053)}}","{'location': {'type': 'Point', 'coordinates': (46.0592907, 37.3386053)}}"
ACV, Estados Unidos,Arcata,"{'location': {'type': 'Point', 'coordinates': (-97.1466695, 31.549333)}}","{'location': {'type': 'Point', 'coordinates': (-97.1466695, 31.549333)}}"
ACX, China,Xingyi,"{'location': {'type': 'Point', 'coordinates': (-124.08284, 40.866517)}}","{'location': {'type': 'Point', 'coordinates': (-124.08284, 40.866517)}}"
ACY, Estados Unidos,Atlantic City,"{'location': {'type': 'Point', 'coordinates': (104.8935472, 25.0947613)}}","{'location': {'type': 'Point', 'coordinates': (104.8935472, 25.0947613)}}"
ACZ, Corri,Zabol,"{'location': {'type': 'Point', 'coordinates': (-74.4229351, 39.3642852)}}","{'location': {'type': 'Point', 'coordinates': (-74.4229351, 39.3642852)}}"
ADA, pavo,Adana,"{'location': {'type': 'Point', 'coordinates': (67.129904, 32.3068942)}}","{'location': {'type': 'Point', 'coordinates': (67.129904, 32.3068942)}}"
ADB, pavo,Esmirna,"{'location': {'type': 'Point', 'coordinates': (35.3252861, 36.9863599)}}","{'location': {'type': 'Point', 'coordinates': (35.3252861, 36.9863599)}}"
ADD, Etiopia,Adis Abeba,"{'location': {'type': 'Point', 'coordinates': (27.1434119, 38.4147331)}}","{'location': {'type': 'Point', 'coordinates': (27.1434119, 38.4147331)}}"
ADE, Yemen,Aden,"{'location': {'type': 'Point', 'coordinates': (38.7612525, 9.0107934)}}","{'location': {'type': 'Point', 'coordinates': (38.7612525, 9.0107934)}}"
ADF, pavo,Adyaman,"{'location': {'type': 'Point', 'coordinates': (44.916667, 12.833333)}}","{'location': {'type': 'Point', 'coordinates': (44.916667, 12.833333)}}"
ADK, Estados Unidos,Isla Adak,"{'location': {'type': 'Point', 'coordinates': (38.3141101, 37.78936)}}","{'location': {'type': 'Point', 'coordinates': (38.3141101, 37.78936)}}"
ADL, Australia,Adelaida,"{'location': {'type': 'Point', 'coordinates': (-176.5734916431957, 51.7961654)}}","{'location': {'type': 'Point', 'coordinates': (-176.5734916431957, 51.7961654)}}"
