IATA,Countries,Cities
AAA, Polinesia frances,Anaa
AAD, Somalia,Adado
AAE, Argelia,Annaba
AAK, Kiribati,Aranuka
AAL, Dinamarca,Aalborg
AAN, Emiratos Arabes Unidos,Al Ain
AAP, Indonesia,Samarinda
AAQ, Rusia,Anapa
AAR, Dinamarca,Aarhus
AAT, China,Altay
ABA, Rusia,Abakan
ABB, Nigeria,Asaba
ABD, Corri,Abadan
ABE, Estados Unidos,Allentown
ABF, Kiribati,Abaiang
ABI, Estados Unidos,Abilene
ABJ, Costa de Marfil,Abiyan
ABL, Estados Unidos,Ambler
ABM, Australia,Bamaga
ABQ, Estados Unidos,Albuquerque
ABR, Estados Unidos,Aberdeen
ABS, Egipto,Abu Simbel
ABT, Arabia Saudita,Al Bahah
ABU, Indonesia,Atambua
ABV, Nigeria,Abuya
ABX, Australia,Albury
ABY, Estados Unidos,Albany
ABZ, Reino Unido,Aberdeen
ACA, Mexico,Acapulco de Juarez
ACC, Ghana,Acra
ACE, Espana,Lanzarote
ACH, Suiza,Thal
ACI, Guernesey,Alderney
ACK, Estados Unidos,Nantucket
ACP, Corri,Bonab
ACT, Estados Unidos,Waco
ACV, Estados Unidos,Arcata
ACX, China,Xingyi
ACY, Estados Unidos,Atlantic City
ACZ, Corri,Zabol
ADA, pavo,Adana
ADB, pavo,Esmirna
ADD, Etiopia,Adis Abeba
ADE, Yemen,Aden
ADF, pavo,Adyaman
ADK, Estados Unidos,Isla Adak
ADL, Australia,Adelaida
ADQ, Estados Unidos,Kodiak
ADU, Corri,Ardabil
ADZ, Colombia,San Andres
AEA, Kiribati,Abemama Atoll
AEB, China,Baise
AEH, Chad,Abeche
AEM, Rusia,Amgu
AEP, Argentina,Buenos Aires
AER, Rusia,Sochi
AES, Noruega,Alesund
AET, Estados Unidos,Allakaket
AEU, Corri,Abu Musa
AEX, Estados Unidos,Alexandria
AEY, Islandia,Akureyri
AFA, Argentina,San Rafael
AFL, Brasil,Alta Floresta
AFZ, Corri,Sabzevar
AGA, Marruecos,Agadir
AGB, Alemania,Munich
AGH, Suecia,Angelholm
AGM, Groenlandia,Tasiilaq
AGN, Estados Unidos,Angoon
AGP, Espana,Malaga
AGR, India,Agra
AGS, Estados Unidos,Augusta
AGU, Mexico,Aguascalientes
AGX, India,Isla Agatti
AHB, Arabia Saudita,Abha
AHE, Polinesia frances,Ahe
AHJ, China,Aba Hongyuan
AHO, Italia,Alguer
AHU, Marruecos,Alhucemas
AIA, Estados Unidos,Alliance
AIC, Islas Marshall,Airok
AIN, Estados Unidos,Wainwright
AIP, India,Jalandhar
AIR, Brasil,Aripuana
AIS, Kiribati,Arorae Island
AIT, Islas Cook,Aitutaki
AJA, Francia,Ajaccio
AJF, Arabia Saudita,Provincia de Yauf
AJI, pavo,Agr
AJL, India,Aizawl
AJN, Comoras,Anjouan
AJR, Suecia,Arvidsjaur
AJU, Brasil,Aracaju
AJY, Niger,Agadez
AKA, China,Ankang
AKF, Libia,Kufrah
AKI, Estados Unidos,Akiak
AKJ, Japon,Asahikawa
AKK, Estados Unidos,Akhiok
AKL, Nueva Zelanda,Auckland
AKN, Estados Unidos,King Salmon
AKP, Estados Unidos,Anaktuvuk Pass
AKR, Nigeria,Akure
AKS, Islas Salomon,Auki
AKU, China,Ciudad de Aksu
AKV, Canada,Akulivik
AKX, Kazajstan,Aktobe
AKY, Myanmar (Burma),Sittwe
ALA, Kazajstan,Almaty
ALB, Estados Unidos,Albany
ALC, Espana,Alicante
ALF, Noruega,Alta
ALG, Argelia,Argel
ALH, Australia,Albany
ALO, Estados Unidos,Waterloo
ALP, Siria,Aleppo
ALQ, Brasil,
ALS, Estados Unidos,Alamosa
ALW, Estados Unidos,Walla Walla
ALY, Egipto,Alexandria
ALZ, Estados Unidos,Lazy Bay
AMA, Estados Unidos,Amarillo
AMD, India,Ahmedabad
AMH, Etiopia,Arba Minch
AMM, Jordan,Aman
AMQ, Indonesia,Ambon
AMS, Paises Bajos,Amsterdam
ANA, Kenia,Masai Mara
ANC, Estados Unidos,Anchorage
ANF, Chile,Antofagasta
ANI, Estados Unidos,Aniak
ANR, Belgica,Bruselas
ANU, Antigua y Barbuda,Isla Antigua
ANV, Estados Unidos,Anvik
ANX, Noruega,Andenes
AOE, pavo,Eskisehir
AOG, China,Anshan
AOI, Italia,Ancona
AOJ, Japon,Aomori
AOK, Grecia,Karpathos
AOO, Estados Unidos,Altoona
AOQ, Groenlandia,Aappilattoq
AOR, Malasia,Alor Setar
AOS, Estados Unidos,Amook Bay
APK, Polinesia frances,Apataki
APL, Mozambique,Nampula
APN, Estados Unidos,Alpena
APO, Colombia,Apartado
APW, Samoa,Apia
AQG, China,Anqing
AQI, Arabia Saudita,Qaisumah
AQJ, Jordan,Aqaba
AQP, Peru,Arequipa
ARC, Estados Unidos,Arctic Village
ARD, Indonesia,Alor Island
ARH, Rusia,Arcangel
ARI, Chile,Arica
ARK, Tanzania,Arusha
ARM, Australia,Armidale
ARN, Suecia,Estocolmo
ART, Estados Unidos,Watertown
ARU, Brasil,Aracatuba
ARX, Brasil,Aracati
ASB, Turkmenistan,Asjabad
ASE, Estados Unidos,Aspen
ASF, Rusia,Astracan
ASJ, Japon,Amami
ASM, Eritrea,Asmara
ASO, Etiopia,Asosa
ASP, Australia,Alice Springs
ASR, pavo,Kayseri
ASS, Sudafrica,Arathusa Safari Lodge
ASU, Paraguay,Asuncion
ASV, Kenia,Amboseli National Park
ASW, Egipto,Asuan
ATD, Islas Salomon,Atoifi
ATH, Grecia,Atenas
ATK, Estados Unidos,Atqasuk
ATL, Estados Unidos,Atlanta
ATM, Brasil,Altamira
ATQ, India,Amritsar
ATT, Estados Unidos,Atmautluak
ATW, Estados Unidos,Appleton
ATY, Estados Unidos,Watertown
ATZ, Egipto,Asiut
AUA, Aruba,Aruba
AUC, Colombia,Arauca
AUG, Estados Unidos,Augusta
AUH, Emiratos Arabes Unidos,Abu Dabi
AUQ, Polinesia frances,Hiva Oa
AUR, Francia,Aurillac
AUS, Estados Unidos,Austin
AUU, Australia,Aurukun
AUX, Brasil,Araguaina
AUY, Vanuatu,Aneityum
AVA, China,Anshun
AVL, Estados Unidos,Asheville
AVN, Francia,Avinon
AVP, Estados Unidos,Wilkes-Barre
