Lat Origen,Lon Origen,Lat Destino,Lon Destino,Precio
40.4167047,-3.7035825,38.974390099999994,1.4197463178515335,100.52
40.4167047,-3.7035825,38.3436365,-0.4881708,101.63
40.4167047,-3.7035825,41.1494512,-8.6107884,107.81
40.4167047,-3.7035825,37.1734995,-3.5995337,108.85
40.4167047,-3.7035825,39.4697065,-0.3763353,110.86
40.4167047,-3.7035825,43.3224219,-1.9838889,125.49
40.4167047,-3.7035825,42.8804219,-8.5458608,130.49
40.4167047,-3.7035825,43.2957547,-0.3685668,135.1
40.4167047,-3.7035825,42.2376602,-8.7247205,135.49
40.4167047,-3.7035825,36.7213028,-4.4216366,136.85
